CustomerID,SeniorCitizen,Tenure,MonthlyCharges,TotalCharges
0.0005,0.0,0.28169014084507044,0.707398448577863,0.33113803378352186
0.001,1.0,0.8873239436619719,0.18216698640420384,0.14043206596151994
0.0015,1.0,0.5070422535211268,0.7123196263241305,0.40067321963790686
0.002,1.0,0.36619718309859156,0.682792559846526,0.980284817921847
0.0025,1.0,0.7605633802816901,0.4252231211944282,0.22789059930802422
0.003,0.0,0.39436619718309857,0.2383851864208858,0.6133288485368351
0.0035,1.0,0.2676056338028169,0.24263908582867627,0.4345317659886538
0.004,0.0,0.3380281690140845,0.9368587872216197,0.073371437431462
0.0045,0.0,0.971830985915493,0.7417632830094254,0.4893171397168326
0.005,0.0,0.8732394366197183,0.2728334306447577,0.7031381488210529
0.0055,0.0,0.49295774647887325,0.4643423137876387,0.5146053900084903
0.006,0.0,0.014084507042253521,0.6610226040537159,0.8727109719546001
0.0065,1.0,0.29577464788732394,0.8637918091583953,0.2908098767222806
0.007,1.0,0.2112676056338028,0.203269663858537,0.08856264356246225
0.0075,1.0,0.23943661971830985,0.36416715322378845,0.9370294558599743
0.008,1.0,0.9577464788732394,0.908916506797898,0.379875184278871
0.0085,0.0,0.7464788732394366,0.17449328551171908,0.5776534594411427
0.009,1.0,0.4084507042253521,0.33480690633080323,0.7927811448485068
0.0095,0.0,0.6197183098591549,0.9667194928684628,0.3261088930263498
0.01,1.0,0.2535211267605634,0.6784552506464259,0.7171077063892094
0.0105,0.0,0.4647887323943662,0.38510301109350237,0.13762490012366535
0.011,0.0,0.16901408450704225,0.22270414546667777,0.29316064365999406
0.0115,1.0,0.5915492957746479,0.19034114605054633,0.14689667504023188
0.012,0.0,0.8591549295774648,0.37092334640086744,0.8119674043656743
0.0125,0.0,0.29577464788732394,0.9020769038285095,0.22466579721634183
0.013,1.0,0.7183098591549296,0.5137209108349321,0.7183443598474002
0.0135,0.0,0.7183098591549296,0.7676203186254066,0.9437478977516415
0.014,1.0,0.49295774647887325,0.9327717073984486,0.5291251270727074
